date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:49	48119/48119	---M--	200	added ('OK')	text/html	etag:%22bbf7-59b3509708a90%22	http://ableproadmin.com/bootstrap/default/layout-box.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/layout-box.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:26:51	48185/48185	---M--	200	added ('OK')	text/html	etag:%22bc39-59b350974091e%22	http://ableproadmin.com/bootstrap/default/layout-dark.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/layout-dark.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:26:53	51019/51019	---M--	200	added ('OK')	text/html	etag:%22c74b-59b35098268e4%22	http://ableproadmin.com/bootstrap/default/layout-light.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/layout-light.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:26:55	98388/98388	---M--	200	added ('OK')	text/html	etag:%2218054-59b3507ac2739%22	http://ableproadmin.com/bootstrap/default/widget-statistic.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/widget-statistic.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:01	140852/140852	---M--	200	added ('OK')	text/html	etag:%2222634-59b3507a0b18f%22	http://ableproadmin.com/bootstrap/default/widget-chart.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/widget-chart.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:03	357719/357719	---M--	200	added ('OK')	text/html	etag:%2257557-59b3507afd0bf%22	http://ableproadmin.com/bootstrap/default/widget-data.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/widget-data.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:03	97894/97894	---M--	200	added ('OK')	text/html	etag:%2217e66-59b350793151a%22	http://ableproadmin.com/bootstrap/default/user-card.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/user-card.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:04	39276/39276	---M--	200	added ('OK')	text/html	etag:%22996c-59b350792aba1%22	http://ableproadmin.com/bootstrap/default/user-list.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/user-list.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:06	57575/57575	---M--	200	added ('OK')	text/html	etag:%22e0e7-59b35093b9f5e%22	http://ableproadmin.com/bootstrap/default/hospital-dashboard.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/hospital-dashboard.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:07	41534/41534	---M--	200	added ('OK')	text/html	etag:%22a23e-59b35093d06c0%22	http://ableproadmin.com/bootstrap/default/hospital-department.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/hospital-department.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:07	46030/46030	---M--	200	added ('OK')	text/html	etag:%22b3ce-59b35094455e3%22	http://ableproadmin.com/bootstrap/default/hospital-doctor.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/hospital-doctor.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:09	56988/56988	---M--	200	added ('OK')	text/html	etag:%22de9c-59b35094d1c09%22	http://ableproadmin.com/bootstrap/default/hospital-patient.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/hospital-patient.html	(from http://ableproadmin.com/bootstrap/default/index.html)
23:27:11	41807/41807	---M--	200	added ('OK')	text/html	etag:%22a34f-59b350949d814%22	http://ableproadmin.com/bootstrap/default/hospital-nurse.html	D:/reza/Vidio/crak/skdksadkjajd/ableproadmin.com/bootstrap/default/hospital-nurse.html	(from http://ableproadmin.com/bootstrap/default/index.html)
